"filename", "language", "Java", "Batch", "Markdown", "comment", "blank", "total"
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\CompResult.java", "Java", -41, 0, 0, -4, -12, -57
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\Compiler.java", "Java", -505, 0, 0, -114, -156, -775
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\JavaBB.java", "Java", -84, 0, 0, -13, -34, -131
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\LangUtil.java", "Java", -47, 0, 0, 0, -2, -49
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\MethodAccess.java", "Java", -29, 0, 0, 0, -7, -36
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\Options.java", "Java", -19, 0, 0, 0, -5, -24
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\StringParser.java", "Java", -17, 0, 0, 0, -3, -20
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\Token.java", "Java", -194, 0, 0, -3, -13, -210
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\Tokeniser.java", "Java", -203, 0, 0, -25, -37, -265
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.0_java\Util.java", "Java", -49, 0, 0, 0, -13, -62
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\AccessMod.java", "Java", -6, 0, 0, 0, -1, -7
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\CompResult.java", "Java", -41, 0, 0, -4, -12, -57
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\Compiler.java", "Java", -511, 0, 0, -116, -156, -783
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\JavaBB.java", "Java", -84, 0, 0, -13, -34, -131
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\MethodAccess.java", "Java", -29, 0, 0, 0, -7, -36
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\Options.java", "Java", -19, 0, 0, 0, -5, -24
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\StringParser.java", "Java", -41, 0, 0, -9, -8, -58
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\Token.java", "Java", -195, 0, 0, -3, -13, -211
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\Tokeniser.java", "Java", -207, 0, 0, -25, -37, -269
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.1.5_java\Util.java", "Java", -49, 0, 0, 0, -13, -62
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\AccessMod.java", "Java", -8, 0, 0, 0, -3, -11
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\CompResult.java", "Java", -40, 0, 0, 0, -3, -43
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\Compiler.java", "Java", -515, 0, 0, 0, -9, -524
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\JavaBB.java", "Java", -93, 0, 0, -1, -24, -118
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\LangUtil.java", "Java", -71, 0, 0, 0, -4, -75
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\MethodAccess.java", "Java", -25, 0, 0, 0, -3, -28
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\Options.java", "Java", -23, 0, 0, 0, -3, -26
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\StringParser.java", "Java", -44, 0, 0, 0, -3, -47
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\Token.java", "Java", -238, 0, 0, 0, -3, -241
"f:\GitHub Repositories\JavaButBetter\compiler_versions\0.2.1\src_out\Tokeniser.java", "Java", -194, 0, 0, 0, -4, -198
